c_x,c_y,c_z,r_x,r_y,r_z
-0.026,-0.142,0.717, 0,-0.05,0
0.073,-0.143,0.715, 0,0.05,0
-0.026,-0.044,0.712, 0.1,-0.05,0
0.025,-0.145,0.715, 0,0,0
0.027,-0.046,0.656,0.1,0,0.05
